# panacus histgrowth -t4 -l 1,2,1,1,1 -q 0,0,1,0.5,0.1 -S -s /mnt/lustre/RDS-live/downing/LSDV_PVG/121_SAMPLE_PVG/CURRENT/PANACUS/haplotypes.txt /mnt/lustre/RDS-live/downing/LSDV_PVG/121_SAMPLE_PVG/CURRENT/goatpox_2_virus_2_2_.fasta.gz.287601a.417fcdf.db2ae42.smooth.final.gfa
coverage	1	2	1	1	1
quorum	0	0	1	0.5	0.1
1	5056	5026	5056	5056	5056
2	6086	6025	4027	6086	6086
3	6609	6519	3521	5038	6609
4	6942	6821	3206	5611	6942
5	7178	7026	2986	5029	7178
6	7351	7170	2824	5378	7351
7	7480	7268	2705	5025	7480
8	7576	7334	2617	5238	7576
9	7647	7375	2551	5025	7647
10	7700	7398	2502	5181	7700
11	7741	7409	2465	5024	7292
12	7774	7412	2434	5056	7376
13	7805	7412	2406	5036	7412
